"X"	"Zillow_Home_ID"	"Current_Price"	"Price_Each_SQFT"	"Price_History"	"Tax_History"	"URL"	"Address"	"Zip_Code"	"Neighborhood"	"School"	"Lot_Size"	"Floor_Size"	"MLS_Number"	"Parcel_Number"	"Stories"	"Built_Year"	"Last_Remodel_Year"	"House_Type"	"Structure_Type"	"Bath_Num"	"Bed_Num"	"Room_Num"
"1"	1	44503849	"2,87,500"	100	NA	NA	"https://www.zillow.com/homedetails/44503849_zpid/"	"4272BuckPointRd,Jacksonville,FL32210"	"32210"	"ConfederatePoint"	"2_StonewallJacksonElementary_K-5_0.5mi;2_J.E.B.StuartMiddle_6-8_0.5mi;2_NathanB.ForrestHigh_9-12_2.1mi"	"0.34"	"2,875"	NA	1046310802	2	1987	1987	"SingleFamily"	"Ranch"	"3"	"4"	9
"2"	2	44499242	"3,99,500"	131	"03/21/17_Listed_for_sale_399,500_130_Owner;02/04/16_Listing_removed_375,000_122_--;01/24/16_Listed_for_sale_375,000_122_Owner"	"2015_3,633_220,055;2014_3,639_218,309;2013_3,595_215,083"	"https://www.zillow.com/homedetails/44499242_zpid/"	"4857WaterOakLn,Jacksonville,FL32210"	"32210"	"OrtegaForest"	"10_JohnStocktonElementary_K-5_0.2mi;2_LakeShoreMiddle_6-8_1.8mi;3_RobertE.LeeHigh_9-12_3.1mi"	"0.57"	"3,050"	NA	1011910000	1	1965	2010	"SingleFamily"	"Ranch"	"4"	"5"	15
"3"	3	99399635	"1,99,900"	107	NA	"2015_2,871_141,689;2014_2,833_138,193;2013_2,680_129,550"	"https://www.zillow.com/homedetails/99399635_zpid/"	"6175SandlerChaseTrl,Jacksonville,FL32222"	"32222"	"JacksonvilleHeightsSouth"	"2_WestviewK-8_K-8_1.2mi;2_NathanB.ForrestHigh_9-12_2.9mi;2_JeffersonDavisMiddle_6-8_3.3mi"	"6,534"	"1,868"	"872100"	151940285	1	2011	2011	"SingleFamily"	NA	"2"	"4"	NA
"4"	4	44494726	"1,99,900"	100	"03/07/17_Listed_for_sale_199,900_99_RE/MAX_SPECIAL;07/28/89_Sold_29,000_14"	NA	"https://www.zillow.com/homedetails/44494726_zpid/"	"4624ConfederateOaksDr,Jacksonville,FL32210"	"32210"	"ConfederatePoint"	"2_StonewallJacksonElementary_K-5_0.8mi;2_J.E.B.StuartMiddle_6-8_0.3mi;2_NathanB.ForrestHigh_9-12_2.1mi"	"0.42"	"2,005"	"870357"	976031035	1	1989	1989	"SingleFamily"	"Ranch"	"2"	"3"	7
"5"	5	44501925	"59,900"	52	"03/10/17_Listed_for_sale_59,900_51_INI_REALTY_INV;08/18/99_Sold_56,900_49"	"2015_754_30,295;2014_724_28,430;2013_708_27,447"	"https://www.zillow.com/homedetails/44501925_zpid/"	"5540MarathonPkwy,Jacksonville,FL32244"	"32244"	"Wesconnett"	"1_TimucuanElementary_PK-5_0.4mi;2_J.E.B.StuartMiddle_6-8_0.8mi;2_NathanB.ForrestHigh_9-12_2.4mi"	NA	"1,152"	"871057"	1035295532	NA	1985	NA	"SingleFamily"	NA	"2"	"2"	NA
"6"	6	44483492	"4,65,000"	187	"03/07/17_Listed_for_sale_465,000_187_Owner;09/23/16_Listing_removed_474,900_191_Coldwell_Banke;06/02/16_Price_change_474,900_191_Watson_Realty"	"2015_3,454_212,685;2014_3,460_210,998;2013_3,427_207,880"	"https://www.zillow.com/homedetails/44483492_zpid/"	"3924AlcazarAve,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_0.6mi;5_AlfredI.DupontMiddle_6-8_2.6mi;4_SamuelW.WolfsonHigh_9-12_3.4mi"	"0.26"	"2,482"	NA	832240000	1	1951	1970	"SingleFamily"	"Ranch"	"2"	"3"	11
"7"	7	44475792	"4,20,000"	189	"03/03/17_Listed_for_sale_420,000_188_INI_REALTY_INV;10/28/04_Sold_314,000_140;"	"2015_4,366_260,483;2014_4,375_258,416;2013_4,323_254,598"	"https://www.zillow.com/homedetails/44475792_zpid/"	"1741OleanderPl,Jacksonville,FL32210"	"32210"	"Fairfax"	"9_FishweirElementary_PK-5_0.4mi;2_LakeShoreMiddle_6-8_1.2mi;3_RobertE.LeeHigh_9-12_1.4mi"	"0.38"	"2,227"	"869691"	696410000	NA	1940	NA	"SingleFamily"	NA	"3"	"4"	NA
"8"	8	44479691	"6,89,000"	184	"03/01/17_Listed_for_sale_689,000;11/10/16_Listing_removed_650,000;09/28/16_Price_change_650,000"	NA	"https://www.zillow.com/homedetails/44479691_zpid/"	"2773OakSt,Jacksonville,FL32205"	"32205"	"Riverside"	"2_WestRiversideElementary_PK-5_0.1mi;2_LakeShoreMiddle_6-8_2.9mi;3_RobertE.LeeHigh_9-12_0.6mi"	"5,501"	"3,736"	NA	7.83e+08	2	1916	2016	"SingleFamily"	"Other"	"4"	"4"	NA
"9"	9	44498810	"3,70,000"	126	NA	NA	"https://www.zillow.com/homedetails/44498810_zpid/"	"4134WaterOakLn,Jacksonville,FL32210"	"32210"	"OrtegaForest"	"10_JohnStocktonElementary_K-5_0.9mi;2_LakeShoreMiddle_6-8_0.8mi;3_RobertE.LeeHigh_9-12_2.5mi"	"0.49"	"2,941"	"869494"	1007480000	1	1949	1970	"SingleFamily"	"Ranch"	"4"	"4"	NA
"10"	10	44489996	"2,45,000"	230	NA	NA	"https://www.zillow.com/homedetails/44489996_zpid/"	"3947BooneParkAve,Jacksonville,FL32205"	"32205"	"Avondale"	"9_FishweirElementary_PK-5_0.1mi;2_LakeShoreMiddle_6-8_1.4mi;3_RobertE.LeeHigh_9-12_1.1mi"	"6,709"	"1,064"	"860553"	925560000	1	1926	1990	"SingleFamily"	"Other"	"2"	"2"	NA
